fecha,indicador,valor,unidad,fuente
2021-08-01,icg_utdt,1.852,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2021-07-01,icg_utdt,1.698,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2021-06-01,icg_utdt,1.703,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2021-05-01,icg_utdt,1.932,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2021-04-01,icg_utdt,1.733,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2021-03-01,icg_utdt,1.784,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2021-02-01,icg_utdt,1.817,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2021-01-01,icg_utdt,1.875,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2020-12-01,icg_utdt,1.854,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2020-11-01,icg_utdt,2.019,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2020-10-01,icg_utdt,1.992,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2020-09-01,icg_utdt,2.266,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2020-08-01,icg_utdt,2.378,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2020-07-01,icg_utdt,2.53,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2020-06-01,icg_utdt,2.77,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2020-05-01,icg_utdt,3.002,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2020-04-01,icg_utdt,3.287,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2020-03-01,icg_utdt,2.218,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2020-02-01,icg_utdt,2.27,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2020-01-01,icg_utdt,2.323,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2019-12-01,icg_utdt,1.967,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2019-11-01,icg_utdt,1.977,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2019-10-01,icg_utdt,2.009,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2019-09-01,icg_utdt,1.91,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2019-08-01,icg_utdt,2.201,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2019-07-01,icg_utdt,1.97,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2019-06-01,icg_utdt,1.857,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2019-05-01,icg_utdt,1.614,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2019-04-01,icg_utdt,1.529,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2019-03-01,icg_utdt,1.6,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2019-02-01,icg_utdt,1.79,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2019-01-01,icg_utdt,1.63,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2018-12-01,icg_utdt,1.92,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2018-11-01,icg_utdt,1.767,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2018-10-01,icg_utdt,1.763,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2018-09-01,icg_utdt,1.749,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2018-08-01,icg_utdt,1.944,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2018-07-01,icg_utdt,2.014,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2018-06-01,icg_utdt,2.042,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2018-05-01,icg_utdt,1.938,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2018-04-01,icg_utdt,2.065,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2018-03-01,icg_utdt,2.322,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2018-02-01,icg_utdt,2.32,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2018-01-01,icg_utdt,2.278,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2017-12-01,icg_utdt,2.363,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2017-11-01,icg_utdt,2.967,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2017-10-01,icg_utdt,2.828,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2017-09-01,icg_utdt,2.855,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2017-08-01,icg_utdt,2.532,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2017-07-01,icg_utdt,2.235,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2017-06-01,icg_utdt,2.278,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2017-05-01,icg_utdt,2.517,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2017-04-01,icg_utdt,2.611,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2017-03-01,icg_utdt,2.317,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2017-02-01,icg_utdt,2.35,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2017-01-01,icg_utdt,2.461,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2016-12-01,icg_utdt,2.494,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2016-11-01,icg_utdt,2.516,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2016-10-01,icg_utdt,2.632,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2016-09-01,icg_utdt,2.53,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2016-08-01,icg_utdt,2.521,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2016-07-01,icg_utdt,2.707,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
